symbol,NOVA_BB_P,NOVA_BB_STD,NOVA_PCT,NOVA_LOOKBACK,NOVA_DURATION,net,trades,win_pct,pf
RENDERUSDT,20,2.0,5,50,3,-1.295380166920318,22,50.0,0.37893631922107773
RENDERUSDT,20,2.0,5,50,6,0.11950327406527747,4,75.0,1.7478439343970158
RENDERUSDT,20,2.0,5,120,3,-0.3886625734284256,31,61.29,0.7986257909703756
RENDERUSDT,20,2.0,5,120,6,0.24840206914095328,12,75.0,1.651863380624146
RENDERUSDT,20,2.0,12,50,3,-2.3054153254832674,78,57.69,0.6127170568230372
RENDERUSDT,20,2.0,12,50,6,-1.2716508491917289,43,58.14,0.5916447619611687
RENDERUSDT,20,2.0,12,120,3,-3.000265464518894,104,56.73,0.6046425243321885
RENDERUSDT,20,2.0,12,120,6,-1.12645824434564,74,62.16,0.7614797485935587
RENDERUSDT,20,2.0,15,50,3,-3.0112221103544003,102,57.84,0.6028323306516046
RENDERUSDT,20,2.0,15,50,6,-1.2380415353552692,71,61.97,0.73089792339591
RENDERUSDT,20,2.0,15,120,3,-3.1695158960968635,134,59.7,0.6557672209212899
RENDERUSDT,20,2.0,15,120,6,-2.4434656804443207,103,60.19,0.6539897231330205
RENDERUSDT,20,2.0,20,50,3,-5.28755962349247,138,54.35,0.5219393564543796
RENDERUSDT,20,2.0,20,50,6,-3.1465690033852245,103,57.28,0.5918250800497581
RENDERUSDT,20,2.0,20,120,3,-4.15830866167708,181,59.67,0.6556269030631676
RENDERUSDT,20,2.0,20,120,6,-3.0744270140035876,142,59.86,0.6725539075492352
RENDERUSDT,20,2.5,5,50,3,-0.24158493494896455,4,50.0,0.3505253698385923
RENDERUSDT,20,2.5,5,50,6,0.06650184451559506,1,100.0,inf
RENDERUSDT,20,2.5,5,120,3,0.03720858802768173,10,70.0,1.0647836377846525
RENDERUSDT,20,2.5,5,120,6,0.2581508445155901,4,100.0,inf
RENDERUSDT,20,2.5,12,50,3,-0.40404720226574165,24,62.5,0.7528181988320773
RENDERUSDT,20,2.5,12,50,6,-0.38665603317004793,14,64.29,0.5989968262303738
RENDERUSDT,20,2.5,12,120,3,-2.182829893613452,42,47.62,0.45101323606738797
RENDERUSDT,20,2.5,12,120,6,-1.6062862201546302,30,50.0,0.42223486979202474
RENDERUSDT,20,2.5,15,50,3,-0.28577982033828947,34,64.71,0.8640273605238487
RENDERUSDT,20,2.5,15,50,6,-0.17051127666947175,23,65.22,0.8808739250270123
RENDERUSDT,20,2.5,15,120,3,-2.04293340650487,54,53.7,0.5479336877740816
RENDERUSDT,20,2.5,15,120,6,-2.032661280838238,41,51.22,0.43377458927588186
RENDERUSDT,20,2.5,20,50,3,-1.6223117521928472,52,55.77,0.6009749686033583
RENDERUSDT,20,2.5,20,50,6,-0.9080310852069611,37,56.76,0.6675313754960521
RENDERUSDT,20,2.5,20,120,3,-1.5517359415557013,85,61.18,0.7274039661900402
RENDERUSDT,20,2.5,20,120,6,-1.3940085302358989,67,61.19,0.6943681372152161
RENDERUSDT,35,2.0,5,50,3,-0.3531988891871979,25,64.0,0.7812621876059093
RENDERUSDT,35,2.0,5,50,6,-0.5290369025896056,9,55.56,0.37646801076772585
RENDERUSDT,35,2.0,5,120,3,-1.0413045777778522,40,57.5,0.6585453634977798
RENDERUSDT,35,2.0,5,120,6,-0.6658621899923627,24,62.5,0.6382548036316223
RENDERUSDT,35,2.0,12,50,3,-3.717822041281791,97,55.67,0.5362617826079145
RENDERUSDT,35,2.0,12,50,6,-2.708869922721719,67,58.21,0.5263998160073433
RENDERUSDT,35,2.0,12,120,3,-2.6304562003850527,120,59.17,0.7207664022509535
RENDERUSDT,35,2.0,12,120,6,-2.781213514574659,101,57.43,0.6664804975411569
RENDERUSDT,35,2.0,15,50,3,-3.6753935849195236,144,60.42,0.6564360208887152
RENDERUSDT,35,2.0,15,50,6,-2.7684284064808575,110,61.82,0.6679631552747242
RENDERUSDT,35,2.0,15,120,3,-4.4271625240943155,151,56.29,0.6403440119741075
RENDERUSDT,35,2.0,15,120,6,-3.9030412707181283,129,55.81,0.6357414611212086
RENDERUSDT,35,2.0,20,50,3,-5.664944720488313,187,58.29,0.6115885623530041
RENDERUSDT,35,2.0,20,50,6,-4.339726860407768,154,59.74,0.6362069108038897
RENDERUSDT,35,2.0,20,120,3,-5.386400371293158,192,55.73,0.650367266202176
RENDERUSDT,35,2.0,20,120,6,-4.229005726928808,172,56.98,0.6886850098365169
RENDERUSDT,35,2.5,5,50,3,0.1605309059731612,9,77.78,1.5600239083058964
RENDERUSDT,35,2.5,5,50,6,0.1916489999999957,3,100.0,inf
RENDERUSDT,35,2.5,5,120,3,-0.6825705003970874,15,40.0,0.45965370114325943
RENDERUSDT,35,2.5,5,120,6,-0.08366524741551026,7,42.86,0.819740577656609
RENDERUSDT,35,2.5,12,50,3,-1.7195279560919765,35,48.57,0.4348775949220833
RENDERUSDT,35,2.5,12,50,6,-1.2352733684017787,23,47.83,0.4230048239155754
RENDERUSDT,35,2.5,12,120,3,-0.6692525136740628,57,61.4,0.8275464955469732
RENDERUSDT,35,2.5,12,120,6,-0.5263539113854178,49,61.22,0.8460069947320277
RENDERUSDT,35,2.5,15,50,3,-0.5303055170434368,58,63.79,0.8484233210818685
RENDERUSDT,35,2.5,15,50,6,-0.16797360584523566,45,66.67,0.9367272716986775
RENDERUSDT,35,2.5,15,120,3,-0.486515452022157,70,62.86,0.8911860876961384
RENDERUSDT,35,2.5,15,120,6,-0.41627568076102095,61,62.3,0.8963746104633172
RENDERUSDT,35,2.5,20,50,3,-0.16451144226842257,74,66.22,0.9608308123266657
RENDERUSDT,35,2.5,20,50,6,0.3578095133078608,61,68.85,1.1086262894867005
RENDERUSDT,35,2.5,20,120,3,-0.19688891993045615,94,62.77,0.965520559732023
RENDERUSDT,35,2.5,20,120,6,-0.2907152613733976,85,62.35,0.945322668773795
